rank,budget,tagline,box_office
230,800000,The French Colonel...who was forced even to torture! One of the many women...who stopped at nothing to win! The Algerian Street Boy...who became a rebel hero!,962002
231,140000000,Prepare to be blown out of the water.,654264015
232,Not Available,"A true story of faith, devotion and undying love.",Not Available
233,800000,The thousands who have read the book will know why WE WILL NOT SELL ANY CHILDREN TICKETS to see this picture!,800000 (estimated)
234,Not Available,imeDramaMystery,Not Available
235,Not Available,"Give him a room dad, he has no place to go...",Not Available
236,2000000,Love. Betrayal. Death.,20908467
237,1288000,"THE MIGHTY NOVEL LEAPS TO TURBULENT LIFE ON THE SCREEN! (Print Ad- Syracuse Herald-American, ((Syracuse, NY)) 24 March 1940)",72275
238,3200000,"""What we've got here is failure to communicate.""",67
239,Not Available,Never did they expect to get into a controversial relationship...,Not Available
240,Not Available,From the Vanguard of New Film-Makers Comes an Extraordinary Motion Picture,127244
241,8200000,RADIANCE THAT FLOODS THE SCREEN...AND WARMS THE HEART!,159428329
242,325000,Two great lovers of the screen in the grandest of romantic comedies !,11477
243,Not Available,A new film by Ingmar Bergman,Not Available
244,4000000,A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third.,20745728
245,70000000,Some secrets are too huge to hide,23335817
246,25000000,Change begins with a whisper.,216639112
247,4000000,There is man and beast at nature's mercy. There is awe and love and reverence. And there is the man called...,14480
248,Not Available,Wish granted! (DVD re-release),Not Available
249,22000000,His Triumph Changed The World Forever.,52767889
250,22000000,Inside everyone is a frontier waiting to be discovered.,424208848
